what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1403611176467
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1403611176468
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1403611176468
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1403611176469
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1403611176470
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1403611176538
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1403611176539
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1403611176566
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1403611176568
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1403611176594
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1403611176596
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1403611176597
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1403611176597
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1403611176598
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1403611176653
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1403611176654
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1403611176655
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1403611176656
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1403611176685
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1403611176686
os,sysinfo,,,"win32",1403611176688
arch,sysinfo,,,"x86",1403611176688
ws,sysinfo,,,"win32",1403611176688
locale,sysinfo,,,"fr_FR",1403611176688
processors,sysinfo,,,"8",1403611176688
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1403611176688
java.runtime.version,sysinfo,,,"1.7.0-b147",1403611176688
java.specification.name,sysinfo,,,"Java Platform API Specification",1403611176688
java.specification.vendor,sysinfo,,,"Oracle Corporation",1403611176688
java.specification.version,sysinfo,,,"1.7",1403611176688
java.vendor,sysinfo,,,"Oracle Corporation",1403611176688
java.version,sysinfo,,,"1.7.0",1403611176688
java.vm.info,sysinfo,,,"mixed mode, sharing",1403611176688
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1403611176688
